Timestamps,Speed [g/s]
80.064,31.643169471096385
80.065,31.308652883508575
80.07,30.99186132590281
80.075,30.565072865006215
80.076,30.11460480945351
80.081,29.570210548975645
80.082,28.950505974240343
80.087,28.12746780692201
80.092,27.32014177410707
80.093,26.42222003879414
80.098,25.574852137699736
80.103,24.920204395195302
80.104,24.273583601514414
80.109,23.84907314374809
80.114,23.82035307082038
80.115,23.842331417362104
80.12,24.208015196957014
80.125,24.89193622901937
80.126,25.553829165859295
80.131,26.60138018605561
80.132,27.669281127173036
80.137,29.101893766116053
80.142,30.75233596522239
80.143,32.30878560821092
80.148,34.162421415029584
80.153,36.175732724673644
80.154,38.113686976945175
80.159,40.20708851318314
80.164,42.47497637431693
80.165,44.64586309528725
80.17,46.90065760430634
80.171,48.97731678120094
80.176,51.35522955429154
80.181,53.863590595630434
80.182,56.15213251261052
80.187,58.53609567542997
80.192,60.843079642730814
80.193,62.888103055386495
80.198,64.94298093444301
80.203,66.98345898376064
80.204,68.88824510005493
80.209,70.81521098530871
80.21,72.55744620615192
80.215,74.19626640813755
80.22,75.59694401099053
80.221,76.88425356174567
80.226,77.86548902824404
80.231,78.70173281170676
80.236,79.25490048091099
80.237,79.78024227756751
80.242,80.05358459350298
80.243,80.16560900879648
80.248,80.02145357669924
80.249,79.75734513980072
80.254,79.14692690169835
80.259,78.29876698717048
80.26,77.5367386403857
80.265,76.44479591416984
80.27,75.21948766419706
80.271,74.0243711444554
80.276,72.7079957760175
80.281,71.50359343152712
80.282,70.30701770145657
80.287,69.06561022087293
80.292,67.76964259991298
80.293,66.4499830214705
80.298,65.08514731337546
80.299,63.680216348798496
80.304,61.838020266150174
80.309,59.46590100189406
80.31,57.303650685755684
80.315,54.807905753886075
80.32,52.32057524846409
80.321,50.08192113702563
80.326,48.08516639712622
80.331,46.451513589902135
80.332,45.09435171661514
80.337,43.75146005011063
80.338,42.503735543077205
80.343,41.55880914271463
80.348,40.72191204249514
80.353,40.10291708174269
80.354,39.420324479980096
80.359,38.91359149136351
80.36,38.425776299055094
80.365,37.98447327862413
80.37,37.46885939972737
80.371,36.92312610364816
80.376,36.376207721165336
80.377,35.93118193864736
80.382,35.480570411553394
80.387,35.00817815753106
80.388,34.425007263341406
80.393,33.888519310711146
80.398,33.29047511353881
80.399,32.692762198333064
80.4,32.34782062399613
80.409,31.921961666227105
80.41,31.509552219791985
80.415,31.113474155351213
80.42,30.638302535604385
80.421,30.105241512779386
80.426,29.59058507069201
80.427,29.03191379565662
80.432,28.40403023975442
80.437,27.6138195490875
80.438,26.985367325809825
80.443,26.230796801770193
80.448,25.525589703741506
80.449,24.861223697466155
80.454,24.45443101328761
80.459,24.188779091718047
80.46,23.98094185241088
80.465,23.876373584614225
80.466,23.55753391070012
80.471,23.00600317097262
80.476,22.34391959432607
80.477,21.716333636679472
80.482,20.962964724466588
80.487,20.34343163772685
