Timestamps,Speed [g/s]
81.017,588.9624808988713
81.027,576.9071348059206
81.028,570.7740829932117
81.044,544.9827074544032
81.049,539.488104153552
81.05,534.5552921764993
81.055,530.0493709055175
81.06,525.990918517211
81.061,522.3593367511129
81.066,519.0630027575831
81.067,516.109846166233
81.072,513.3845724094273
81.077,511.12093914855785
81.1,19.340854127322263
81.088,507.33130877664377
81.089,506.9524041766435
81.094,506.8793744610998
81.099,506.83517922957503
81.105,507.70501373558443
81.106,508.49590109712324
81.111,509.8478431646718
81.117,513.8868520747006
81.133,529.6607617505881
81.138,533.2650675139345
81.139,536.4243025658567
81.144,539.2507846793061
81.149,541.5932938043738
81.15,543.7170528162147
81.155,545.311771065911
81.156,546.7487314968597
81.161,547.7815433991013
81.166,548.5843723587344
81.167,549.235418389458
81.172,549.6089115724767
81.177,549.6868782662285
81.178,549.7568136476502
81.183,549.6497376951816
81.188,549.3967883605177
81.189,549.0958730988275
81.194,548.5961559325923
81.195,548.1917497057188
81.2,7.6000716573584715
81.205,546.7821309773079
81.206,546.098105301535
81.211,545.0516619786137
81.3,7.511908804151842
81.289,275.86551667181624
81.295,267.4500324216132
81.305,260.4390122856814
81.31,257.4327411172825
81.311,254.70744786088719
81.316,252.13584702712822
81.317,249.7634805597338
81.322,247.84241379185468
81.327,246.05637910063288
81.328,244.32352857081327
81.333,242.61850483088332
81.338,241.17151266496245
81.339,239.75657118768586
81.344,238.37796748704005
81.345,237.25040690543176
81.35,236.03837288823414
81.355,234.90875980143954
81.356,233.84810858755225
81.361,232.9199841810799
81.366,232.0444311597633
81.367,231.22235850709896
81.372,230.37365042894697
81.373,229.5892450533953
81.378,228.72698890916712
81.383,227.97827170956737
81.384,227.23439103423664
81.389,226.4917885512769
81.394,225.78808217497465
81.395,225.11194845730375
81.4,4.9701734668325415
81.405,223.52005996809334
81.406,222.84036608254303
81.411,222.2214951547901
81.412,221.62755742572142
81.417,221.0794514551436
81.422,220.6153462642999
81.423,220.19930125165084
81.428,219.74080173710365
81.433,219.3942382489571
81.434,219.02908105833103
81.439,218.87805893316028
81.444,218.70095746673158
81.445,218.6620981769043
81.45,218.66748101551354
81.455,218.6476376226767
81.456,218.66901825181128
81.461,218.69194296454128
81.462,218.71231322534615
81.467,218.73301806535065
81.472,218.8343047069927
81.473,218.901398036145
81.478,218.95432683123096
81.483,219.04479710711075
81.484,219.11101347948684
81.489,219.22512375850866
81.494,219.27196801968273
81.495,219.3270880052867
81.5,3.901220496715406
81.501,219.4532733507645
81.506,219.47974421499276
81.511,219.57591198647395
81.512,219.54138874659125
81.517,219.5638021684876
81.522,219.58087004304068
81.523,219.60214236734356
81.528,219.59378802741026
81.533,219.6442754026358
81.534,219.66410366487614
81.539,219.67210913199165
81.544,219.6381807443869
81.545,219.64683172168498
81.55,219.62854880260215
81.551,219.6616394242381
81.556,219.61891290394433
81.6,8.640288614771968
81.562,219.81978770488232
81.567,219.81283887091112
81.572,219.77115211012313
81.573,219.78842685236523
81.578,219.80094734946664
81.583,219.77837513540368
81.584,219.6649142733104
81.589,219.67963497186847
81.59,219.67652438363987
81.595,219.7267663984415
81.601,5.839656161676245
81.606,6.08989403842997
81.611,219.8814053391979
81.612,6.650388583896486
81.617,7.017994027386208
81.622,219.7582823050088
81.623,7.6941052976120305
81.628,219.83324086115596
81.629,8.272724932835075
81.634,8.516628121937964
81.639,219.72331390458297
81.64,8.69241197722684
81.645,8.720390640229823
81.65,219.82357261628007
81.651,219.83893322245663
81.656,219.79839889735285
81.661,219.89654598177623
81.662,219.83692851429373
81.667,219.75927729847436
81.672,219.66785385609705
81.673,219.60723838838675
81.678,219.63969667462047
81.679,219.66702879335764
81.684,219.64256423148822
81.689,219.66378668088413
81.69,219.61391057566044
81.695,219.69917277119828
81.7,5.859720849060876
81.701,219.64068962835745
81.706,219.73712956805258
81.711,219.69194026747883
81.712,219.7523149641893
81.717,219.60955270922398
81.722,219.58121641194677
81.723,219.65534663991872
81.728,219.67335072893175
81.729,219.67462103771794
81.734,219.67802676944572
81.739,219.57230945914037
81.74,6.1527781492505165
81.745,219.43047736472028
81.75,219.3902195950352
81.751,219.44661276576517
81.756,219.38405396603304
81.761,219.30200508120572
81.762,219.3592873956321
81.8,5.731541855435151
81.818,184.22301339759767
81.834,179.8073286590542
81.839,178.65464788004167
81.84,177.69897019948846
81.845,176.7575734808273
81.85,175.95304894633014
81.851,175.10151845266245
81.856,174.4003045966657
81.857,173.60192121868255
81.862,173.00286109518177
81.867,172.5121814147337
81.868,171.98033252245844
