Time [s],X [°/s],Y [°/s],Z [°/s]
22.83675,13.91623,-22.21714,-4.882887
22.838,13.18379,-21.97299,-4.516671
22.839,11.96307,-21.97299,-4.638742
22.84025,13.06172,-23.43786,-4.394598
22.8415,12.08514,-21.60678,-3.662165
22.84275,12.57343,-22.58335,-4.028382
22.844,11.96307,-23.43786,-3.662165
22.84525,10.49821,-22.58335,-3.540093
22.8465,11.47478,-22.8275,-4.516671
22.84775,10.86442,-23.19371,-5.249104
22.849,10.74235,-23.43786,-4.394598
22.85,10.00992,-22.94957,-3.784237
22.85125,9.399557,-23.31579,-3.295949
22.8525,9.765774,-23.19371,-2.929732
22.85375,9.399557,-23.55993,-2.563516
22.855,10.37613,-23.55993,-2.929732
22.85625,9.277485,-23.31579,-2.197299
22.8575,8.911269,-23.92615,-0.7324331
22.85875,8.789197,-24.90272,-1.09865
22.86,9.277485,-24.65858,-0.6103609
22.861,9.765774,-24.78065,0
22.86225,11.35271,-25.63516,0.8545052
22.8635,10.00992,-23.55993,0.8545052
22.86475,10.25406,-24.04822,1.220722
22.866,10.86442,-24.53651,-0.3662165
22.867,11.35271,-23.19371,0.8545052
22.86825,11.59686,-23.55993,1.464866
22.8695,12.08514,-23.31579,1.220722
22.87075,11.96307,-24.04822,1.953155
22.872,13.55001,-24.29236,1.831083
22.87325,13.55001,-24.17029,1.464866
22.8745,12.93965,-23.92615,1.70901
22.87575,13.67208,-24.17029,1.70901
22.877,14.0383,-23.92615,2.075227
22.878,14.0383,-23.07164,1.953155
22.87925,13.55001,-24.04822,1.953155
22.8805,13.67208,-24.41443,2.441443
22.88175,13.79416,-24.29236,2.563516
22.883,15.25902,-24.17029,2.075227
22.884,14.16037,-24.04822,1.464866
22.88525,14.89281,-23.682,2.563516
22.8865,15.25902,-24.29236,2.929732
22.88775,15.38109,-22.94957,2.319371
22.889,14.28244,-21.4847,1.09865
22.89025,15.01488,-22.46128,0.7324331
22.8915,14.89281,-21.85092,0.4882887
22.89275,13.55001,-20.38605,-0.9765774
